,8058.T,8031.T,8053.T,8002.T,8001.T,8015.T,8008.T,8016.T,7433.T,9768.T,"('8058.T', '8058.T')","('8031.T', '8031.T')","('8053.T', '8053.T')","('8002.T', '8002.T')","('8001.T', '8001.T')","('8015.T', '8015.T')","('8008.T', '8008.T')","('8016.T', '8016.T')","('7433.T', '7433.T')","('9768.T', '9768.T')","('8058.T', '8058.T').1","('8031.T', '8031.T').1","('8053.T', '8053.T').1","('8002.T', '8002.T').1","('8001.T', '8001.T').1","('8015.T', '8015.T').1","('8008.T', '8008.T').1","('8016.T', '8016.T').1","('7433.T', '7433.T').1","('9768.T', '9768.T').1"
2022-06-21,1271.6260986328125,1370.2200927734375,1563.4202880859375,1093.227783203125,665.25390625,1346.965087890625,1467.235595703125,210.7826995849609,2094.3564453125,1478.4580078125,,,,,,,,,,,,,,,,,,,,
2022-06-22,1195.110595703125,1330.0106201171875,1548.9205322265625,1074.676513671875,659.5281372070312,1311.903076171875,1468.0703125,207.38296508789065,2054.509521484375,1452.2906494140625,,,,,,,,,,,,,,,,,,,,
2022-06-23,1162.4443359375,1303.9407958984375,1539.5382080078125,1053.53662109375,650.2239990234375,1291.4503173828125,1476.416259765625,209.9327850341797,2017.8502197265625,1451.41845703125,,,,,,,,,,,,,,,,,,,,
2022-06-24,1165.093017578125,1305.2662353515625,1539.9647216796875,1049.6539306640625,647.361083984375,1284.1456298828125,1463.897216796875,210.7826995849609,2026.6165771484373,1487.1805419921875,,,,,,,,,,,,,,,,,,,,
2022-06-27,1183.9276123046875,1316.754638671875,1558.302734375,1062.596435546875,655.0550537109375,1327.9732666015625,1483.0931396484375,213.3325042724609,2052.915771484375,1488.925048828125,,,,,,,,,,,,,,,,,,,,
2022-06-28,1202.4677734375,1350.7784423828125,1591.5670166015625,1076.83349609375,669.1903686523438,1346.965087890625,1508.966064453125,215.8822784423828,2099.13818359375,1508.114501953125,,,,,,,,,,,,,,,,,,,,
2022-06-29,1200.996337890625,1344.59228515625,1589.4346923828125,1074.676513671875,669.7271118164062,1329.4339599609375,1512.3043212890625,216.73223876953125,2062.479248046875,1488.925048828125,,,,,,,,,,,,,,,,,,,,
2022-06-30,1188.047607421875,1323.1617431640625,1583.890625,1056.125244140625,656.1286010742188,1294.3720703125,1513.138916015625,215.8822784423828,2017.0537109375,1487.1805419921875,,,,,,,,,,,,,,,,,,,,
2022-07-01,1124.186767578125,1250.254150390625,1572.8026123046875,1028.5140380859375,660.7806396484375,1273.919189453125,1498.1160888671875,215.0323638916016,1991.5516357421875,1460.140869140625,,,,,,,,,,,,,,,,,,,,
2022-07-04,1168.9189453125,1291.5684814453125,1604.3609619140625,1056.125244140625,674.5581665039062,1298.7548828125,1515.642822265625,218.4320678710937,2001.9114990234373,1492.4139404296875,,,,,,,,,,,,,,,,,,,,
2022-07-05,1171.2730712890625,1296.2080078125,1609.905029296875,1066.0478515625,679.7470703125,1306.0594482421875,1511.4698486328125,217.5821533203125,1981.1910400390625,1503.7532958984375,,,,,,,,,,,,,,,,,,,,
2022-07-06,1113.59228515625,1225.510009765625,1537.4058837890625,1015.5714721679688,667.4010620117188,1254.927490234375,1522.3194580078125,217.5821533203125,1962.064697265625,1462.757568359375,,,,,,,,,,,,,,,,,,,,
2022-07-07,1116.8294677734375,1238.5447998046875,1565.979248046875,1008.6686401367188,678.4945678710938,1253.4664306640625,1544.019287109375,222.6817321777344,1976.4095458984373,1502.8809814453125,,,,,,,,,,,,,,,,,,,,
