,6758.T,6861.T,8035.T,6702.T,6723.T,6645.T,6503.T,6301.T,6367.T,6594.T,6920.T,6954.T,6971.T,6976.T,4063.T,6981.T,6770.T,6752.T,6753.T,6857.T,"('6758.T', '6758.T')","('6861.T', '6861.T')","('8035.T', '8035.T')","('6702.T', '6702.T')","('6723.T', '6723.T')","('6645.T', '6645.T')","('6503.T', '6503.T')","('6301.T', '6301.T')","('6367.T', '6367.T')","('6594.T', '6594.T')","('6920.T', '6920.T')","('6954.T', '6954.T')","('6971.T', '6971.T')","('6976.T', '6976.T')","('4063.T', '4063.T')","('6981.T', '6981.T')","('6770.T', '6770.T')","('6752.T', '6752.T')","('6753.T', '6753.T')","('6857.T', '6857.T')","('6758.T', '6758.T').1","('6861.T', '6861.T').1","('8035.T', '8035.T').1","('6702.T', '6702.T').1","('6723.T', '6723.T').1","('6645.T', '6645.T').1","('6503.T', '6503.T').1","('6301.T', '6301.T').1","('6367.T', '6367.T').1","('6594.T', '6594.T').1","('6920.T', '6920.T').1","('6954.T', '6954.T').1","('6971.T', '6971.T').1","('6976.T', '6976.T').1","('4063.T', '4063.T').1","('6981.T', '6981.T').1","('6770.T', '6770.T').1","('6752.T', '6752.T').1","('6753.T', '6753.T').1","('6857.T', '6857.T').1"
2023-07-31,2611.2744140625,62510.71875,20062.55078125,1772.319580078125,2652.992919921875,7168.10498046875,1944.958251953125,3531.154296875,27359.6171875,4120.29931640625,20848.50390625,4116.44580078125,1769.41552734375,3905.352783203125,4411.138671875,2616.388671875,1145.45458984375,1636.5230712890625,845.0,4812.609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,2643.63330078125,60314.609375,20629.158203125,1748.7015380859375,2640.4765625,7070.2978515625,1821.205322265625,3606.87255859375,27497.89453125,4124.19873046875,21426.14453125,3995.26220703125,1725.666259765625,4033.563720703125,4407.3671875,2730.786865234375,1108.0482177734375,1616.531494140625,848.5999755859375,5006.099609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02,2595.585205078125,60824.41796875,19968.119140625,1739.5435791015625,2577.89501953125,6930.17138671875,1821.6795654296875,3627.361083984375,26892.337890625,3980.40478515625,20882.484375,3946.03125,1717.7958984375,3959.773193359375,4294.2373046875,2651.588134765625,1084.3271484375,1579.802734375,840.2999877929688,4781.79833984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-03,2536.75048828125,60569.515625,19746.19921875,1748.7015380859375,2510.980224609375,6782.52099609375,1767.62646484375,3550.751953125,26525.19140625,3832.22412109375,20727.150390625,3912.8955078125,1669.648681640625,3840.7861328125,4331.947265625,2574.589599609375,1074.2913818359375,1569.5745849609375,824.5999755859375,4654.859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-04,2534.789306640625,60334.21484375,19920.900390625,1746.7734375,2410.84912109375,6820.138671875,1780.902587890625,3580.1484375,26477.51171875,3851.7216796875,20440.755859375,3890.17333984375,1659.463623046875,3793.744873046875,4322.51953125,2549.76123046875,1068.3609619140625,1547.72314453125,839.9000244140625,4670.880859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-07,2532.828125,59775.390625,19713.14453125,1774.2476806640625,2396.406982421875,6749.60498046875,1782.7991943359375,3565.895263671875,26572.876953125,3854.646240234375,20581.525390625,3888.2802734375,1674.509521484375,3755.92724609375,4330.0615234375,2559.50439453125,1075.6597900390625,1553.30224609375,912.0999755859376,4594.47021484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-08,2544.59521484375,59255.7734375,19543.1640625,1781.9595947265625,2371.855712890625,6751.48583984375,1791.333984375,3625.57958984375,26925.716796875,3862.445068359375,21304.79296875,3938.45751953125,1686.5465087890625,3800.20166015625,4250.87060546875,2587.7890625,1076.5721435546875,1528.6614990234375,864.5,4400.98095703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-09,2546.556396484375,58824.38671875,19604.544921875,1750.629638671875,2380.520751953125,6655.560546875,1748.660400390625,3578.366943359375,23859.802734375,3842.94775390625,22086.306640625,3913.842529296875,1697.6573486328125,3800.20166015625,4294.2373046875,2579.6181640625,1083.414794921875,1508.2049560546875,883.7000122070312,4530.384765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10,2464.187744140625,59294.98828125,19311.80078125,1743.399658203125,2412.774658203125,6678.13037109375,1770.471435546875,3653.194580078125,24193.568359375,3882.917724609375,21319.35546875,3967.806640625,1710.851806640625,3766.995849609375,4338.54638671875,2564.218505859375,1090.713623046875,1534.7054443359375,860.5,4525.455078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-14,2387.70263671875,58294.97265625,19141.8203125,1738.097412109375,2341.527587890625,6583.1455078125,1753.876220703125,3599.746337890625,23917.017578125,3785.91748046875,20969.85546875,3883.54638671875,1688.1668701171875,3743.936279296875,4286.69482421875,2531.53271484375,1077.0283203125,1485.4237060546875,912.2999877929688,4382.494140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-15,2396.528076171875,58618.51171875,19462.896484375,1748.7015380859375,2370.892578125,6595.37109375,1748.660400390625,3613.9990234375,23535.564453125,3795.178955078125,20979.5625,3875.97265625,1697.6573486328125,3695.972900390625,4298.00830078125,2536.87548828125,1081.590087890625,1496.116943359375,880.7000122070312,4466.29833984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-16,2355.34375,58265.5546875,19240.974609375,1708.6953125,2364.153564453125,6424.20947265625,1723.056640625,3541.84375,22920.474609375,3681.606201171875,20600.94140625,3820.114501953125,1672.8892822265625,3587.13232421875,4268.78271484375,2503.247802734375,1078.8531494140625,1489.143310546875,842.2999877929688,4515.59521484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-17,2378.877685546875,58275.3671875,19325.966796875,1710.1414794921875,2323.715576171875,6448.66162109375,1720.211669921875,3483.050537109375,23197.029296875,3573.395263671875,20499.0078125,3854.197265625,1672.42626953125,3571.451904296875,4331.0048828125,2519.2763671875,1070.6419677734375,1484.493896484375,833.5999755859375,4486.017578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-18,2356.32470703125,58706.7421875,19458.173828125,1692.3072509765625,2299.16455078125,6309.474609375,1705.038818359375,3480.3779296875,22791.73828125,3618.239501953125,20465.02734375,3835.262451171875,1658.7691650390625,3580.675048828125,4268.78271484375,2511.7333984375,1062.886962890625,1475.1954345703125,852.0999755859375,4555.03271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-21,2353.383056640625,58049.875,19632.875,1700.0194091796875,2292.4248046875,6268.09423828125,1682.7537841796875,3472.361083984375,22291.078125,3596.304931640625,20489.298828125,3818.220703125,1664.3248291015625,3640.630126953125,4248.98486328125,2512.67626953125,1067.90478515625,1466.3619384765625,873.5,4555.03271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-22,2366.13037109375,58755.76171875,20010.615234375,1739.5435791015625,2339.120361328125,6354.6162109375,1689.865966796875,3549.861083984375,22314.921875,3616.77734375,21348.478515625,3839.0498046875,1670.57470703125,3682.136962890625,4301.77880859375,2523.990234375,1079.7655029296875,1477.520263671875,877.0,4764.54443359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-23,2363.188720703125,59932.25,19892.5703125,1731.8314208984375,2353.081298828125,6459.005859375,1718.31494140625,3527.5908203125,22930.013671875,3613.365234375,20804.81640625,3888.2802734375,1689.3240966796875,3706.119140625,4289.5234375,2534.361572265625,1089.344970703125,1547.72314453125,898.4000244140625,4769.47509765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-24,2356.32470703125,60324.4140625,20539.447265625,1734.2415771484375,2346.341552734375,6475.9345703125,1733.9617919921875,3532.935791015625,23030.140625,3615.315185546875,21566.9140625,3913.842529296875,1706.9166259765625,3761.46142578125,4310.26416015625,2528.075927734375,1091.6259765625,1566.784912109375,910.5999755859376,4845.884765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-25,2325.9267578125,59206.75,19321.2421875,1729.4215087890625,2294.350341796875,6378.126953125,1702.1939697265625,3511.55615234375,22734.515625,3584.118896484375,20071.83984375,3865.55810546875,1667.796875,3653.54345703125,4229.1875,2493.8193359375,1084.7833251953125,1537.0301513671875,900.0,4361.54296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
